ccTLD	zone	nameserver	ipv4	analysis_role	laces_status	laces_error	laces_prefix	backing_prefix	asn	partial_anycast	laces_gcd_pop_count	laces_gcd_pop_ids	laces_gcd_pop_cities	laces_gcd_pop_countries	laces_eu_pop_count	laces_known_non_eu_pop_count	laces_uk_pop_count	laces_ch_pop_count	laces_unknown_country_pop_count
.fr	fr	d.nic.fr	194.0.9.1	Main	ok		194.0.9.0/24	194.0.9.0/24		False	5	AMX; CDG; FRA; LGA; LHR	Amsterdam (NL); Frankfurt-am-Main (DE); London (GB); New York (US); Paris (FR)	DE; FR; GB; NL; US	3	2	1	0	0
.fr	fr	f.ext.nic.fr	194.146.106.46	Main	ok		194.146.106.0/24	194.146.106.0/24		False	31	AMX; ASH; BBU; BMA; CDG; DELHI; DMK; FRA; HEL; HKX; KBP; KUL; LHR; MXP; NHD; NIX; NRT; ORD; PBH; PER; PIX; QRA; RKV; SAO; SCL; SIN; SOF; TAI; WIE; YUL; ZRH	Amsterdam (NL); Ashburn (US); Bangkok (TH); Bucharest (RO); Chicago (US); Delhi (IN); Dubai (AE); Frankfurt-am-Main (DE); Helsinki (FI); Hong Kong (HK); Johannesburg (ZA); Kiev (UA); Kuala Lumpur (MY); London (GB); Milan (IT); Montréal (CA); Oslo (NO); Paris (FR); Paro (BT); Perth (AU); Reykjavik (IS); San Francisco (US); Santiago (CL); Singapore (SG); Sofia (BG); Stockholm (SE); São Paulo (BR); Taipei (TW); Tokyo (JP); Vienna (AT); Zurich (CH)	AE; AT; AU; BG; BR; BT; CA; CH; CL; DE; FI; FR; GB; HK; IN; IS; IT; JP; MY; NL; NO; RO; SE; SG; TH; TW; UA; US; ZA	9	22	1	1	0
.fr	fr	g.ext.nic.fr	194.0.36.1	Main	ok		194.0.36.0/24	194.0.36.0/24		False	64	ACC; AKL; AMX; ASH; ASU; BCN; BEG; BFI; BLR; BMA; BOM; CDG; CGN; CPT; DAC; DAR; DEN; DMK; DUB; FOE; GMP; HEL; HKX; HND; IAH; ITM; LAX; LGA; LHR; LOS; LPL; LYS; MAD; MEL; MIA; MRS; MRU; NBO; NHD; NoCity; ORD; PER; PHX; PIT; PRG; QRA; RIX; RKV; SAW; SCL; SIN; SJC; SJO; SLC; SOF; SYD; TAI; TLV; WAW; WIE; YIP; YUL; YZD; ZRH	Accra (GH); Amsterdam (NL); Ashburn (US); Asunción (PY); Auckland (NZ); Bangalore (IN); Bangkok (TH); Barcelona (ES); Belgrade (RS); Cape Town (ZA); Chicago (US); Cologne (DE); Dar es Salaam (TZ); Denver (US); Detroit (US); Dhaka (BD); Dubai (AE); Dublin (IE); Helsinki (FI); Hong Kong (HK); Houston (US); Istanbul (TR); Johannesburg (ZA); Lagos (NG); Liverpool (GB); London (GB); Los Angeles (US); Lyon (FR); Madrid (ES); Marseille (FR); Melbourne (AU); Miami (US); Montréal (CA); Mumbai (IN); Nairobi (KE); New York (US); Osaka (JP); Paris (FR); Perth (AU); Phoenix (US); Pittsburgh (US); Port Louis (MU); Prague (CZ); Reykjavik (IS); Riga (LV); Salt Lake City (US); San Jose (CR); San Jose (US); Santiago (CL); Seattle (US); Seoul (KR); Singapore (SG); Sofia (BG); Stockholm (SE); Sydney (AU); Taipei (TW); Tel Aviv (IL); Tokyo (JP); Topeka (US); Toronto (CA); Unknown (??); Vienna (AT); Warsaw (PL); Zurich (CH)	AE; AT; AU; BD; BG; CA; CH; CL; CR; CZ; DE; ES; FI; FR; GB; GH; HK; IE; IL; IN; IS; JP; KE; KR; LV; MU; NG; NL; NZ; PL; PY; RS; SE; SG; TH; TR; TW; TZ; US; ZA	15	48	2	1	1
.cz	cz	a.ns.nic.cz	194.0.12.1	Main	ok		194.0.12.0/24	194.0.12.0/24		False	7	BFI; CGN; HND; MXP; PRG; QRA; SCL	Cologne (DE); Johannesburg (ZA); Milan (IT); Prague (CZ); Santiago (CL); Seattle (US); Tokyo (JP)	CL; CZ; DE; IT; JP; US; ZA	3	4	0	0	0
.cz	cz	b.ns.nic.cz	194.0.13.1	Main	ok		194.0.13.0/24	194.0.13.0/24		False	9	BMA; BWI; CGN; KBP; LAX; PRG; QRA; SCL; SIN	Baltimore (US); Cologne (DE); Johannesburg (ZA); Kiev (UA); Los Angeles (US); Prague (CZ); Santiago (CL); Singapore (SG); Stockholm (SE)	CL; CZ; DE; SE; SG; UA; US; ZA	3	6	0	0	0
.cz	cz	c.ns.nic.cz	194.0.14.1	Main	ok		194.0.14.0/24	194.0.14.0/24		False	6	BWI; HND; LHR; PRG; SAO; WIE	Baltimore (US); London (GB); Prague (CZ); São Paulo (BR); Tokyo (JP); Vienna (AT)	AT; BR; CZ; GB; JP; US	2	4	1	0	0
.cz	cz	d.ns.nic.cz	193.29.206.1	Main	ok		193.29.206.0/24	193.29.206.0/24		False	8	BFI; CGN; LGA; LHR; PRG; SAO; SIN; SYD	Cologne (DE); London (GB); New York (US); Prague (CZ); Seattle (US); Singapore (SG); Sydney (AU); São Paulo (BR)	AU; BR; CZ; DE; GB; SG; US	2	6	1	0	0
.at	at	j.ns.at	194.146.106.50	Main	ok		194.146.106.0/24	194.146.106.0/24		False	31	AMX; ASH; BBU; BMA; CDG; DELHI; DMK; FRA; HEL; HKX; KBP; KUL; LHR; MXP; NHD; NIX; NRT; ORD; PBH; PER; PIX; QRA; RKV; SAO; SCL; SIN; SOF; TAI; WIE; YUL; ZRH	Amsterdam (NL); Ashburn (US); Bangkok (TH); Bucharest (RO); Chicago (US); Delhi (IN); Dubai (AE); Frankfurt-am-Main (DE); Helsinki (FI); Hong Kong (HK); Johannesburg (ZA); Kiev (UA); Kuala Lumpur (MY); London (GB); Milan (IT); Montréal (CA); Oslo (NO); Paris (FR); Paro (BT); Perth (AU); Reykjavik (IS); San Francisco (US); Santiago (CL); Singapore (SG); Sofia (BG); Stockholm (SE); São Paulo (BR); Taipei (TW); Tokyo (JP); Vienna (AT); Zurich (CH)	AE; AT; AU; BG; BR; BT; CA; CH; CL; DE; FI; FR; GB; HK; IN; IS; IT; JP; MY; NL; NO; RO; SE; SG; TH; TW; UA; US; ZA	9	22	1	1	0
.at	at	r.ns.at	194.0.25.10	Main	ok		194.0.25.0/24	194.0.25.0/24		False	33	AMX; BBU; BLR; BMA; BOM; CDG; DAL; DUB; FRA; HKX; HND; LAX; LGA; LHR; MAD; MEL; ORD; PDK; QRA; RIX; RKV; SAO; SIN; SJC; SYD; TLV; TMB; TXL; WAW; WIE; YVR; YZD; ZRH	Amsterdam (NL); Atlanta (US); Bangalore (IN); Berlin (DE); Bucharest (RO); Chicago (US); Dallas (US); Dublin (IE); Frankfurt-am-Main (DE); Hong Kong (HK); Johannesburg (ZA); London (GB); Los Angeles (US); Madrid (ES); Melbourne (AU); Miami (US); Mumbai (IN); New York (US); Paris (FR); Reykjavik (IS); Riga (LV); San Jose (US); Singapore (SG); Stockholm (SE); Sydney (AU); São Paulo (BR); Tel Aviv (IL); Tokyo (JP); Toronto (CA); Vancouver (CA); Vienna (AT); Warsaw (PL); Zurich (CH)	AT; AU; BR; CA; CH; DE; ES; FR; GB; HK; IE; IL; IN; IS; JP; LV; NL; PL; RO; SE; SG; US; ZA	11	22	1	1	0
.at	at	ns2.univie.ac.at	192.92.125.2	Main	ok		192.92.125.0/24	192.92.125.0/24		False	11	BMA; CJS; FRA; HND; LAX; LHR; PRG; SAO; SCL; SYD; WIE	Ciudad Juárez (MX); Frankfurt-am-Main (DE); London (GB); Los Angeles (US); Prague (CZ); Santiago (CL); Stockholm (SE); Sydney (AU); São Paulo (BR); Tokyo (JP); Vienna (AT)	AT; AU; BR; CL; CZ; DE; GB; JP; MX; SE; US	4	7	1	0	0
