measurement_id	target	query_argument	nsid_raw	valid_count	invalid_count	total_count
173811464	194.0.0.53	de.	ns-2.de.nl1.knot	11	0	11
173811464	194.0.0.53	de.	ns-2.de.se1.bind	7	0	7
173811464	194.0.0.53	de.	ns-2.de.us4.bind	1	0	1
173811464	194.0.0.53	de.	ns.de.anx-uk2.nsd	1	0	1
173811464	194.0.0.53	de.	ns.de.cl1.bind	1	0	1
173811464	194.0.0.53	de.	ns.de.fr3.bind	7	0	7
173811465	77.67.63.105	de.	nomi83.percipientnetworks.com	0	1	1
173811465	77.67.63.105	de.	ns-1.de.fr1.knot	28	0	28
173811465	77.67.63.105	de.	ns-1.de.uk1.knot	9	0	9
173811465	77.67.63.105	de.	ns-2.de.fr1.knot	26	0	26
173811465	77.67.63.105	de.	ns-2.de.uk1.knot	15	0	15
173811466	194.146.107.6	de.	nomi83.percipientnetworks.com	0	1	1
173811466	194.146.107.6	de.	s3.amx	4	0	4
173811466	194.146.107.6	de.	s3.bah	1	0	1
173811466	194.146.107.6	de.	s3.bnx	6	0	6
173811466	194.146.107.6	de.	s3.bts	2	0	2
173811466	194.146.107.6	de.	s3.cdg	1	0	1
173811466	194.146.107.6	de.	s3.cmx	1	0	1
173811466	194.146.107.6	de.	s3.del	1	0	1
173811466	194.146.107.6	de.	s3.dex	8	0	8
173811466	194.146.107.6	de.	s3.fix	1	0	1
173811466	194.146.107.6	de.	s3.hel	1	0	1
173811466	194.146.107.6	de.	s3.jak	2	0	2
173811466	194.146.107.6	de.	s3.lju	3	0	3
173811466	194.146.107.6	de.	s3.lnx	1	0	1
173811466	194.146.107.6	de.	s3.lon	1	0	1
173811466	194.146.107.6	de.	s3.lux	1	0	1
173811466	194.146.107.6	de.	s3.mex	1	0	1
173811466	194.146.107.6	de.	s3.mix	4	0	4
173811466	194.146.107.6	de.	s3.rix	1	0	1
173811466	194.146.107.6	de.	s3.rox	5	0	5
173811466	194.146.107.6	de.	s3.sof	6	0	6
173811466	194.146.107.6	de.	s3.stm	1	0	1
173811466	194.146.107.6	de.	s3.sto	4	0	4
173811466	194.146.107.6	de.	s3.tll	3	0	3
173811466	194.146.107.6	de.	s3.tok	1	0	1
173811466	194.146.107.6	de.	s3.vno	4	0	4
173811466	194.146.107.6	de.	s3.wie	3	0	3
173811466	194.146.107.6	de.	s3.yvr	7	0	7
173811466	194.146.107.6	de.	s3.zrh	4	0	4
173811467	194.246.96.1	de.	nomi83.percipientnetworks.com	0	1	1
173811467	194.246.96.1	de.	ns-1.de.cn1.bind	2	0	2
173811467	194.246.96.1	de.	ns-1.de.de2.knot	31	0	31
173811467	194.246.96.1	de.	ns-2.de.cn1.bind	1	0	1
173811467	194.246.96.1	de.	ns-2.de.de2.knot	30	0	30
173811467	194.246.96.1	de.	ns.de.ae1.bind	2	0	2
173811467	194.246.96.1	de.	ns.de.fr2.bind	6	0	6
173811467	194.246.96.1	de.	ns.de.in1.bind	1	0	1
173811467	194.246.96.1	de.	ns.de.pl1.bind	5	0	5
173811468	194.0.9.1	fr.	dns.ams.nic.fr	9	0	9
173811468	194.0.9.1	fr.	dns.fra.nic.fr	15	0	15
173811468	194.0.9.1	fr.	dns.lil.nic.fr	3	0	3
173811468	194.0.9.1	fr.	dns.lon.nic.fr	2	0	2
173811468	194.0.9.1	fr.	dns.mrs.nic.fr	2	0	2
173811468	194.0.9.1	fr.	dns.nyc.nic.fr	21	0	21
173811468	194.0.9.1	fr.	dns.prg.nic.fr	6	0	6
173811468	194.0.9.1	fr.	dns.th2.nic.fr	20	0	20
173811468	194.0.9.1	fr.	nomi83.percipientnetworks.com	0	1	1
173811469	194.146.106.46	fr.	nomi83.percipientnetworks.com	0	1	1
173811469	194.146.106.46	fr.	s2.amx	4	0	4
173811469	194.146.106.46	fr.	s2.bah	2	0	2
173811469	194.146.106.46	fr.	s2.bnx	6	0	6
173811469	194.146.106.46	fr.	s2.bts	2	0	2
173811469	194.146.106.46	fr.	s2.cdg	1	0	1
173811469	194.146.106.46	fr.	s2.cmx	1	0	1
173811469	194.146.106.46	fr.	s2.del	1	0	1
173811469	194.146.106.46	fr.	s2.dex	8	0	8
