measurement_id	probe_id	target	dst_addr	query_argument	query_type	description	atlas_type	protocol	from_addr	src_addr	timestamp	stored_timestamp	rtt_ms	rcode	answer_type	answer_count	additional_count	response_size	nsid_raw	nsid_hex	has_abuf	is_valid_dns_observation	invalid_reason
173811458	1014236	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	54.229.175.135	172.31.36.67	1779560787	1779560789	21.624	NOERROR	SOA	1	1	130	zaventem1.ns.prodng.dc3.be	7a6176656e74656d312e6e732e70726f646e672e6463332e6265	True	True	
173811458	1014482	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	80.68.228.5	192.168.1.226	1779560790	1779560810	31.455	NOERROR	SOA	1	1	128	london1.ns.prodng.dc3.be	6c6f6e646f6e312e6e732e70726f646e672e6463332e6265	True	True	
173811458	1014507	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	149.224.170.84	192.168.178.17	1779560787	1779560800	15.964	NOERROR	SOA	1	1	130	zaventem1.ns.prodng.dc3.be	7a6176656e74656d312e6e732e70726f646e672e6463332e6265	True	True	
173811458	1014670	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	95.131.202.112	95.131.202.112	1779560772	1779560792	7.889	NOERROR	SOA	1	1	128	prague1.ns.prodng.dc3.be	707261677565312e6e732e70726f646e672e6463332e6265	True	True	
173811458	1014683	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	5.45.126.247	5.45.126.247	1779560787	1779560799	33.797	NOERROR	SOA	1	1	128	london1.ns.prodng.dc3.be	6c6f6e646f6e312e6e732e70726f646e672e6463332e6265	True	True	
173811458	1014766	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	81.84.216.160	192.168.1.92	1779560788	1779560799	42.756	NOERROR	SOA	1	1	130	zaventem1.ns.prodng.dc3.be	7a6176656e74656d312e6e732e70726f646e672e6463332e6265	True	True	
173811458	1014861	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	45.15.160.244	45.15.160.244	1779560789	1779560833	33.003	NOERROR	SOA	1	1	128	london1.ns.prodng.dc3.be	6c6f6e646f6e312e6e732e70726f646e672e6463332e6265	True	True	
173811458	1015058	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	84.32.198.137	192.168.46.202	1779560789	1779560806	41.52	NOERROR	SOA	1	1	128	london1.ns.prodng.dc3.be	6c6f6e646f6e312e6e732e70726f646e672e6463332e6265	True	True	
173811458	1015140	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	164.215.102.2	10.101.11.3	1779560789	1779560800	9.326	NOERROR	SOA	1	1	128	london1.ns.prodng.dc3.be	6c6f6e646f6e312e6e732e70726f646e672e6463332e6265	True	True	
173811458	1015188	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	37.187.76.138	37.187.76.138	1779560787	1779560789	17.875	NOERROR	SOA	1	1	128	prague1.ns.prodng.dc3.be	707261677565312e6e732e70726f646e672e6463332e6265	True	True	
173811458	1015592	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	46.10.148.66	192.168.1.13	1779560790	1779560810	48.939	NOERROR	SOA	1	1	128	london1.ns.prodng.dc3.be	6c6f6e646f6e312e6e732e70726f646e672e6463332e6265	True	True	
173811458	11155	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	176.56.245.98	192.168.2.67	1779560793	1779560795	36.19	NOERROR	SOA	1	1	128	london1.ns.prodng.dc3.be	6c6f6e646f6e312e6e732e70726f646e672e6463332e6265	True	True	
173811458	11266	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	5.186.54.143	10.0.0.20	1779560793	1779560795	37.154	NOERROR	SOA	1	1	128	london1.ns.prodng.dc3.be	6c6f6e646f6e312e6e732e70726f646e672e6463332e6265	True	True	
173811458	11587	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	178.118.54.147	178.118.54.147	1779560791	1779560795	28.453	NOERROR	SOA	1	1	128	london1.ns.prodng.dc3.be	6c6f6e646f6e312e6e732e70726f646e672e6463332e6265	True	True	
173811458	13084	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	212.31.114.251	192.168.10.248	1779560792	1779560795	60.536	NOERROR	SOA	1	1	128	london1.ns.prodng.dc3.be	6c6f6e646f6e312e6e732e70726f646e672e6463332e6265	True	True	
173811458	13593	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	161.53.120.254	10.85.29.30	1779560793	1779560795	25.129	NOERROR	SOA	1	1	128	prague1.ns.prodng.dc3.be	707261677565312e6e732e70726f646e672e6463332e6265	True	True	
173811458	15104	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	194.26.208.5	10.128.3.14	1779560792	1779560794	32.449	NOERROR	SOA	1	1	128	london1.ns.prodng.dc3.be	6c6f6e646f6e312e6e732e70726f646e672e6463332e6265	True	True	
173811458	16847	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	212.84.142.238	192.168.178.41	1779560787	1779560792	28.369	NOERROR	SOA	1	1	128	london1.ns.prodng.dc3.be	6c6f6e646f6e312e6e732e70726f646e672e6463332e6265	True	True	
173811458	19651	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	92.35.127.220	192.168.1.47	1779560791	1779560795	49.734	NOERROR	SOA	1	1	128	prague1.ns.prodng.dc3.be	707261677565312e6e732e70726f646e672e6463332e6265	True	True	
