measurement_id	cctld	nameserver	target	query_argument	nsid_raw	count	classification_status	city	country_code	region_class	classification_confidence	classification_method	matched_rule_priority	matched_rule_pattern	classification_note
173811460	.be	z.nsset.be	194.0.25.36	be.	tld-all-lon1@53036	1	classified	London	GB	UK	high	regex	30	^tld-all-lon[0-9](?:@.*)?$	City code in tld-all NSID
173811460	.be	z.nsset.be	194.0.25.36	be.	tld-all-lux1@53036	1	classified	Luxembourg	LU	EU	high	regex	30	^tld-all-lux[0-9](?:@.*)?$	City code in tld-all NSID
173811460	.be	z.nsset.be	194.0.25.36	be.	tld-all-mad1@53036	4	classified	Madrid	ES	EU	high	regex	30	^tld-all-mad[0-9](?:@.*)?$	City code in tld-all NSID
173811460	.be	z.nsset.be	194.0.25.36	be.	tld-all-mel1@53036	1	classified	Melbourne	AU	Other non EU	high	regex	30	^tld-all-mel[0-9](?:@.*)?$	City code in tld-all NSID
173811460	.be	z.nsset.be	194.0.25.36	be.	tld-all-mil1@53036	5	classified	Milan	IT	EU	high	regex	30	^tld-all-mil[0-9](?:@.*)?$	City code in tld-all NSID
173811460	.be	z.nsset.be	194.0.25.36	be.	tld-all-par1@53036	3	classified	Paris	FR	EU	high	regex	30	^tld-all-par[0-9](?:@.*)?$	City code in tld-all NSID
173811460	.be	z.nsset.be	194.0.25.36	be.	tld-all-prs1@53036	3	unknown			Unknown	unknown				No defensible NSID mapping rule matched
173811460	.be	z.nsset.be	194.0.25.36	be.	tld-all-rig1	7	classified	Riga	LV	EU	high	regex	30	^tld-all-rig[0-9](?:@.*)?$	City code in tld-all NSID
173811460	.be	z.nsset.be	194.0.25.36	be.	tld-all-sto1@53036	6	classified	Stockholm	SE	EU	high	regex	30	^tld-all-sto[0-9](?:@.*)?$	City code in tld-all NSID
173811460	.be	z.nsset.be	194.0.25.36	be.	tld-all-tam1@53036	2	classified	Tampere	FI	EU	medium	regex	30	^tld-all-tam[0-9](?:@.*)?$	Tampere style label
173811460	.be	z.nsset.be	194.0.25.36	be.	tld-all-vnn1@53036	10	classified	Vienna	AT	EU	medium	regex	30	^tld-all-vnn[0-9](?:@.*)?$	Vienna style label
173811460	.be	z.nsset.be	194.0.25.36	be.	tld-all-waw1@53036	3	classified	Warsaw	PL	EU	high	regex	30	^tld-all-waw[0-9](?:@.*)?$	City code in tld-all NSID
173811461	.nl	ns1.dns.nl	194.0.28.53	nl.	eqx-am-ns01-128214	6	classified	Amsterdam	NL	EU	high	regex	40	^eqx-am-	Equinix style city code
173811461	.nl	ns1.dns.nl	194.0.28.53	nl.	eqx-am-ns02-129888	5	classified	Amsterdam	NL	EU	high	regex	40	^eqx-am-	Equinix style city code
173811461	.nl	ns1.dns.nl	194.0.28.53	nl.	eqx-fr-ns01-128214	24	classified	Frankfurt	DE	EU	high	regex	40	^eqx-fr-	Equinix style city code
173811461	.nl	ns1.dns.nl	194.0.28.53	nl.	eqx-fr-ns02-129888	23	classified	Frankfurt	DE	EU	high	regex	40	^eqx-fr-	Equinix style city code
