zone	ns_name	ipv4	soa_status	soa_aa	nsid	hostname_bind	id_server	soa_query_ms
it	m.dns.it.	217.29.76.4	NOERROR	yes		m		35
it	nameserver.cnr.it.	194.119.192.34	NOERROR	yes		nameserver		53
it	r.dns.it.	193.206.141.46	NOERROR	yes		r		44
it	v.dns.it.	194.0.25.44	NOERROR	yes	tld-all-amx1@53044	tld-all-amx1@53044	tld-all-sto1@53044	22
es	a.nic.es.	194.69.254.1	NOERROR	yes		ns02.datos		57
es	c.nic.es.	194.0.34.53	NOERROR	yes	FRA2	FRA2	FRA1	24
es	g.nic.es.	204.61.217.1	NOERROR	yes	4.ams.pch	4.ams.pch	4.ams.pch	21
es	h.nic.es.	194.0.33.53	NOERROR	yes	ns-2.es.de2.bind	ns-1.es.de2.bind	ns-2.es.de2.bind	24
at	d.ns.at.	81.91.161.98	NOERROR	yes	id-d-FRA-02-at	d2	id-d-FRA-02-at	26
at	j.ns.at.	194.146.106.50	NOERROR	yes	s2.amx	s2.amx	s2.amx	18
at	n.ns.at.	81.91.173.130	NOERROR	yes	id-n-AMS-02-at	id-n-AMS-02-at	id-n-AMS-02-at	19
at	ns1.univie.ac.at.	78.104.144.2	NOERROR	yes	id-01-NIG-02-at	id-01-NIG-02-at	id-01-NIG-02-at	39
at	ns2.univie.ac.at.	192.92.125.2	NOERROR	yes	id-02-FRA-05-at	ns2e	id-02-FRA-05-at	30
at	r.ns.at.	194.0.25.10	NOERROR	yes	tld-all-amx1@53010	tld-all-sto1@53010	tld-all-amx1@53010	21
at	u.ns.at.	185.102.12.2	NOERROR	yes	id-u-LON-02-at	id-u-LON-02-at	id-u-LON-02-at	23
ie	a.ns.ie.	77.72.72.40	NOERROR	yes		a.ns.ie		40
ie	c.ns.ie.	194.146.106.98	NOERROR	yes	s2.amx	s2.amx	s2.amx	24
ie	d.ns.ie.	77.72.229.245	NOERROR	yes	u1.sub	u1.stu	u1.stu	43
ie	e.ns.ie.	185.159.199.210	NOERROR	yes	LHR4	LHR4	FRA2	21
ie	h.ns.ie.	192.93.0.4	NOERROR	yes	ns2.th2.nic.fr	ns2.th2.nic.fr	ns2.th2.nic.fr	34
ie	i.ns.ie.	194.0.25.35	NOERROR	yes	tld-all-sto1@53035	tld-all-amx1@53035	tld-all-amx1@53035	46
pt	a.dns.pt.	185.39.208.1	NOERROR	yes		none		70
pt	b.dns.pt.	194.0.25.23	NOERROR	yes	tld-all-amx1@53023	tld-all-amx1@53023	tld-all-amx1@53023	23
pt	c.dns.pt.	204.61.216.105	NOERROR	yes	4.ams.pch	1.ams.pch	6.ams.pch	24
pt	d.dns.pt.	185.39.210.1	NOERROR	yes		none		57
pt	e.dns.pt.	193.136.192.64	NOERROR	yes		none		66
pt	g.dns.pt.	193.136.2.226	NOERROR	yes		ns2.dns.pt		64
pt	h.dns.pt.	194.146.106.138	NOERROR	yes	s2.amx	s2.amx	s2.amx	19
pt	ns.dns.br.	200.160.0.5	NOERROR	yes	ns.dns.br	ns.dns.br	ns.dns.br	240
pt	ns2.nic.fr.	192.93.0.4		no		ns2.th2.nic.fr	ns2.th2.nic.fr	
gr	estia.ics.forth.gr.	139.91.191.3	NOERROR	yes		estia.ics.forth.gr		82
gr	gr-at.ics.forth.gr.	78.104.145.227	NOERROR	yes		CHAOS is verionless	CHAOS is verionless	36
gr	gr-c.ics.forth.gr.	194.0.1.25	NOERROR	yes		NORM 001999-20D893		51
gr	gr-d.ics.forth.gr.	194.0.11.102	NOERROR	yes	ns-2.gr.nl1.bind		ns-1.gr.nl1.bind	25
gr	gr-m.ics.forth.gr.	194.0.4.10	NOERROR	yes	m-us.ics.forth.gr	m-us	m-us.ics.forth.gr	171
gr	grdns.ics.forth.gr.	139.91.1.1	NOERROR	yes		grdns		80
ro	dns-at.rotld.ro.	78.104.145.6	NOERROR	yes	dns-at.rotld.ro	ro-dns	dns-at.rotld.ro	36
ro	dns-c.rotld.ro.	194.0.11.113	NOERROR	yes	ns-1.ro.nl1.bind	ns-2.ro.nl1.bind	ns-1.ro.nl1.bind	17
ro	dns-ro.denic.de.	81.91.161.99		no				
ro	primary.rotld.ro.	192.162.16.18	NOERROR	yes		primary.rotld.ro		65
ro	sec-dns-a.rotld.ro.	192.162.16.20	NOERROR	yes		sec-dns-a.rotld.ro		60
ro	sec-dns-b.rotld.ro.	193.230.31.230	NOERROR	yes		sec-dns-b.rotld.ro		61
hu	a.hu.	5.28.0.97	NOERROR	yes		a.hu		36
hu	b.hu.	193.41.82.18	NOERROR	yes		MZ/Y 2022	MZ/Y 2022	38
hu	c.hu.	195.111.1.92	NOERROR	yes		c.hu		54
hu	d.hu.	5.28.0.99	NOERROR	yes		MZ/Y 2022	MZ/Y 2022	44
hu	e.hu.	194.0.25.11	NOERROR	yes	tld-all-sto1@53011	tld-all-amx1@53011	tld-all-amx1@53011	46
hu	f.hu.	194.0.9.1	NOERROR	yes	dns.ams.nic.fr	dns.ams.nic.fr	dns.ams.nic.fr	13
hu	p.hu.	204.61.216.146	NOERROR	yes	1.ams.pch	3.ams.pch	3.ams.pch	31
