destination_code	destination_name	count	share_non_eu	share_all_classifiable
GB	United Kingdom	157	49.4	10.4
US	United States	30	9.4	2.0
ZA	South Africa	29	9.1	1.9
SG	Singapore	23	7.2	1.5
CA	Canada	21	6.6	1.4
CH	Switzerland	14	4.4	0.9
IN	India	9	2.8	0.6
AU	Australia	6	1.9	0.4
ID	Indonesia	6	1.9	0.4
Other	Other destinations	23	7.2	1.4
