country_code	country_name	count	share_other_non_eu	share_all_classifiable
US	United States	30	20.4	2.0
ZA	South Africa	29	19.7	1.9
SG	Singapore	23	15.6	1.5
CA	Canada	21	14.3	1.4
IN	India	9	6.1	0.6
AU	Australia	6	4.1	0.4
ID	Indonesia	6	4.1	0.4
BH	Bahrain	5	3.4	0.3
JP	Japan	5	3.4	0.3
CN	China	3	2.0	0.2
MX	Mexico	3	2.0	0.2
AE	United Arab Emirates	2	1.4	0.1
BR	Brazil	2	1.4	0.1
CL	Chile	2	1.4	0.1
RS	Serbia	1	0.7	0.1
